,id,group,temp,n_tokens,is_solution,score_sign,time
826,g0ktlz6i,whole-sweep-3,0.6,389,0,-1,26.1055166721344
827,g0ktlz6i,whole-sweep-3,0.6,248,0,-1,16.827930450439453
828,g0ktlz6i,whole-sweep-3,0.6,445,0,-1,29.86732268333435
829,g0ktlz6i,whole-sweep-3,0.6,292,0,-1,19.585717916488647
830,g0ktlz6i,whole-sweep-3,0.6,45,0,1,5.369571208953857
831,g0ktlz6i,whole-sweep-3,0.6,39,0,1,5.073740243911743
832,g0ktlz6i,whole-sweep-3,0.6,386,0,-1,25.85322904586792
833,g0ktlz6i,whole-sweep-3,0.6,237,0,-1,16.00937032699585
834,g0ktlz6i,whole-sweep-3,0.6,848,0,-1,59.414488315582275
835,g0ktlz6i,whole-sweep-3,0.6,297,0,-1,19.89665913581848
836,g0ktlz6i,whole-sweep-3,0.6,695,0,-1,47.994354486465454
837,g0ktlz6i,whole-sweep-3,0.6,811,0,-1,57.04300832748413
838,g0ktlz6i,whole-sweep-3,0.6,53,0,1,6.030529737472534
839,g0ktlz6i,whole-sweep-3,0.6,277,0,-1,18.89642310142517
840,g0ktlz6i,whole-sweep-3,0.6,48,0,1,5.617661714553833
841,g0ktlz6i,whole-sweep-3,0.6,264,0,-1,17.919008016586304
842,g0ktlz6i,whole-sweep-3,0.6,289,0,-1,19.430825233459473
843,g0ktlz6i,whole-sweep-3,0.6,533,0,-1,36.12577199935913
844,g0ktlz6i,whole-sweep-3,0.6,280,0,-1,18.797613859176636
845,g0ktlz6i,whole-sweep-3,0.6,261,0,-1,17.726678133010864
846,g0ktlz6i,whole-sweep-3,0.6,288,0,-1,19.31549048423767
847,g0ktlz6i,whole-sweep-3,0.6,489,0,-1,33.044424057006836
848,g0ktlz6i,whole-sweep-3,0.6,264,0,-1,17.79020357131958
849,g0ktlz6i,whole-sweep-3,0.6,395,0,-1,27.4660964012146
850,g0ktlz6i,whole-sweep-3,0.6,306,0,-1,20.64381504058838
851,g0ktlz6i,whole-sweep-3,0.6,48,0,1,5.630711555480957
852,g0ktlz6i,whole-sweep-3,0.6,302,0,-1,20.406923055648804
853,g0ktlz6i,whole-sweep-3,0.6,41,0,1,5.176968574523926
854,g0ktlz6i,whole-sweep-3,0.6,355,0,-1,23.832684755325317
855,g0ktlz6i,whole-sweep-3,0.6,274,0,-1,18.384074926376343
856,g0ktlz6i,whole-sweep-3,0.6,262,1,1,20.292879581451416
857,g0ktlz6i,whole-sweep-3,0.6,248,0,-1,16.75340485572815
858,g0ktlz6i,whole-sweep-3,0.6,280,0,-1,18.850802421569824
859,g0ktlz6i,whole-sweep-3,0.6,380,0,-1,25.500556707382202
860,g0ktlz6i,whole-sweep-3,0.6,279,0,-1,18.771562814712524
861,g0ktlz6i,whole-sweep-3,0.6,568,0,-1,38.84083437919617
862,g0ktlz6i,whole-sweep-3,0.6,47,0,1,5.5463807582855225
863,g0ktlz6i,whole-sweep-3,0.6,692,0,-1,47.41913056373596
864,g0ktlz6i,whole-sweep-3,0.6,269,0,-1,18.08605933189392
865,g0ktlz6i,whole-sweep-3,0.6,276,0,-1,18.46770453453064
866,g0ktlz6i,whole-sweep-3,0.6,277,0,-1,18.4709255695343
867,g0ktlz6i,whole-sweep-3,0.6,393,0,-1,27.474504947662354
868,g0ktlz6i,whole-sweep-3,0.6,624,0,-1,42.76995825767517
869,g0ktlz6i,whole-sweep-3,0.6,395,0,-1,26.67549157142639
870,g0ktlz6i,whole-sweep-3,0.6,272,0,-1,18.30672788619995
871,g0ktlz6i,whole-sweep-3,0.6,300,0,-1,20.175893545150757
872,g0ktlz6i,whole-sweep-3,0.6,265,0,-1,17.847071886062622
873,g0ktlz6i,whole-sweep-3,0.6,51,0,1,5.785719156265259
874,g0ktlz6i,whole-sweep-3,0.6,646,0,-1,44.400447607040405
875,g0ktlz6i,whole-sweep-3,0.6,685,0,-1,47.10965442657471
876,g0ktlz6i,whole-sweep-3,0.6,50,0,1,5.73483681678772
877,g0ktlz6i,whole-sweep-3,0.6,276,0,1,21.32027506828308
878,g0ktlz6i,whole-sweep-3,0.6,282,0,-1,18.893503427505493
879,g0ktlz6i,whole-sweep-3,0.6,373,0,-1,24.844290018081665
880,g0ktlz6i,whole-sweep-3,0.6,281,0,1,21.606598615646362
881,g0ktlz6i,whole-sweep-3,0.6,281,0,-1,18.976945877075195
882,g0ktlz6i,whole-sweep-3,0.6,535,0,-1,36.31337857246399
883,g0ktlz6i,whole-sweep-3,0.6,286,0,-1,19.18747878074646
884,g0ktlz6i,whole-sweep-3,0.6,339,0,-1,23.539857625961304
885,g0ktlz6i,whole-sweep-3,0.6,280,0,-1,18.817912340164185
886,g0ktlz6i,whole-sweep-3,0.6,286,0,-1,19.217432498931885
887,g0ktlz6i,whole-sweep-3,0.6,472,0,-1,32.54075813293457
888,g0ktlz6i,whole-sweep-3,0.6,615,0,-1,41.80303335189819
889,g0ktlz6i,whole-sweep-3,0.6,274,0,-1,18.46250605583191
890,g0ktlz6i,whole-sweep-3,0.6,393,0,-1,26.25862407684326
891,g0ktlz6i,whole-sweep-3,0.6,370,0,-1,24.72039818763733
892,g0ktlz6i,whole-sweep-3,0.6,480,0,-1,32.203855991363525
893,g0ktlz6i,whole-sweep-3,0.6,49,0,1,5.661743879318237
894,g0ktlz6i,whole-sweep-3,0.6,41,0,1,2.701679229736328
895,g0ktlz6i,whole-sweep-3,0.6,413,0,-1,27.797349214553833
896,g0ktlz6i,whole-sweep-3,0.6,367,0,-1,24.555227518081665
897,g0ktlz6i,whole-sweep-3,0.6,273,0,-1,18.33427619934082
898,g0ktlz6i,whole-sweep-3,0.6,257,0,-1,17.36475896835327
899,g0ktlz6i,whole-sweep-3,0.6,46,0,1,5.519695520401001
900,g0ktlz6i,whole-sweep-3,0.6,468,0,-1,31.57524013519287
901,g0ktlz6i,whole-sweep-3,0.6,503,0,-1,35.01246523857117
902,g0ktlz6i,whole-sweep-3,0.6,365,0,-1,24.585083723068237
903,g0ktlz6i,whole-sweep-3,0.6,272,0,-1,18.339927196502686
904,g0ktlz6i,whole-sweep-3,0.6,347,0,-1,23.27697205543518
905,g0ktlz6i,whole-sweep-3,0.6,342,0,-1,22.835707664489746
906,g0ktlz6i,whole-sweep-3,0.6,343,0,-1,23.999188899993896
907,g0ktlz6i,whole-sweep-3,0.6,347,0,-1,23.35541844367981
908,g0ktlz6i,whole-sweep-3,0.6,438,0,-1,29.265968084335327
909,g0ktlz6i,whole-sweep-3,0.6,271,0,-1,18.17719864845276
910,g0ktlz6i,whole-sweep-3,0.6,324,0,-1,21.805419206619263
911,g0ktlz6i,whole-sweep-3,0.6,476,0,-1,32.01312279701233
912,g0ktlz6i,whole-sweep-3,0.6,271,0,-1,18.349915981292725
913,g0ktlz6i,whole-sweep-3,0.6,46,0,1,5.477534294128418
914,g0ktlz6i,whole-sweep-3,0.6,446,0,-1,30.06223154067993
915,g0ktlz6i,whole-sweep-3,0.6,48,0,1,3.0794858932495117
916,g0ktlz6i,whole-sweep-3,0.6,49,0,1,3.138197183609009
917,g0ktlz6i,whole-sweep-3,0.6,52,0,1,5.87311315536499
918,g0ktlz6i,whole-sweep-3,0.6,420,0,-1,28.251381397247314
919,g0ktlz6i,whole-sweep-3,0.6,285,0,-1,19.232251405715942
920,g0ktlz6i,whole-sweep-3,0.6,502,0,-1,34.11099863052368
921,g0ktlz6i,whole-sweep-3,0.6,403,0,-1,27.0592679977417
922,g0ktlz6i,whole-sweep-3,0.6,287,0,-1,19.38077163696289
923,g0ktlz6i,whole-sweep-3,0.6,276,1,1,21.242663145065308
924,g0ktlz6i,whole-sweep-3,0.6,50,0,1,5.771353483200073
925,g0ktlz6i,whole-sweep-3,0.6,277,0,-1,18.80237126350403
926,g0ktlz6i,whole-sweep-3,0.6,384,1,1,28.511595487594604
927,g0ktlz6i,whole-sweep-3,0.6,484,0,-1,32.63701772689819
928,g0ktlz6i,whole-sweep-3,0.6,484,0,-1,33.27492880821228
929,g0ktlz6i,whole-sweep-3,0.6,295,0,-1,19.968056678771973
930,g0ktlz6i,whole-sweep-3,0.6,469,0,-1,31.54359197616577
931,g0ktlz6i,whole-sweep-3,0.6,50,0,1,5.704287052154541
932,g0ktlz6i,whole-sweep-3,0.6,326,0,-1,21.84073805809021
933,g0ktlz6i,whole-sweep-3,0.6,274,0,-1,18.494367599487305
934,g0ktlz6i,whole-sweep-3,0.6,287,0,-1,19.432913780212402
935,g0ktlz6i,whole-sweep-3,0.6,395,0,-1,26.36068081855774
936,g0ktlz6i,whole-sweep-3,0.6,410,0,-1,27.432260274887085
937,g0ktlz6i,whole-sweep-3,0.6,41,0,1,2.6467456817626953
938,g0ktlz6i,whole-sweep-3,0.6,329,0,-1,21.992972373962402
939,g0ktlz6i,whole-sweep-3,0.6,46,0,-1,4.2291975021362305
940,g0ktlz6i,whole-sweep-3,0.6,265,0,-1,17.79803967475891
941,g0ktlz6i,whole-sweep-3,0.6,321,0,-1,21.537484645843506
942,g0ktlz6i,whole-sweep-3,0.6,238,0,-1,16.146878242492676
943,g0ktlz6i,whole-sweep-3,0.6,50,0,1,3.186258316040039
944,g0ktlz6i,whole-sweep-3,0.6,477,0,-1,32.1099808216095
945,g0ktlz6i,whole-sweep-3,0.6,257,0,-1,17.355541229248047
946,g0ktlz6i,whole-sweep-3,0.6,512,0,-1,34.44720697402954
947,g0ktlz6i,whole-sweep-3,0.6,378,0,-1,25.27776026725769
948,g0ktlz6i,whole-sweep-3,0.6,267,0,-1,17.91621685028076
949,g0ktlz6i,whole-sweep-3,0.6,403,0,-1,27.40500831604004
950,g0ktlz6i,whole-sweep-3,0.6,407,0,-1,27.49714159965515
951,g0ktlz6i,whole-sweep-3,0.6,51,0,1,5.824491739273071
952,g0ktlz6i,whole-sweep-3,0.6,41,0,1,5.271425485610962
953,g0ktlz6i,whole-sweep-3,0.6,49,0,1,3.189925193786621
954,g0ktlz6i,whole-sweep-3,0.6,370,0,-1,25.0671329498291
955,g0ktlz6i,whole-sweep-3,0.6,283,0,-1,19.193782567977905
956,g0ktlz6i,whole-sweep-3,0.6,611,0,-1,41.67499017715454
957,g0ktlz6i,whole-sweep-3,0.6,301,1,1,23.008562088012695
958,g0ktlz6i,whole-sweep-3,0.6,511,0,-1,34.60455369949341
959,g0ktlz6i,whole-sweep-3,0.6,521,0,-1,35.25820708274841
960,g0ktlz6i,whole-sweep-3,0.6,47,0,1,3.024702548980713
961,g0ktlz6i,whole-sweep-3,0.6,495,0,-1,33.47978949546814
962,g0ktlz6i,whole-sweep-3,0.6,285,0,-1,19.258272171020508
963,g0ktlz6i,whole-sweep-3,0.6,50,0,1,5.738508462905884
964,g0ktlz6i,whole-sweep-3,0.6,50,0,1,5.76116943359375
965,g0ktlz6i,whole-sweep-3,0.6,276,0,-1,18.662590265274048
966,g0ktlz6i,whole-sweep-3,0.6,259,0,-1,17.474626779556274
967,g0ktlz6i,whole-sweep-3,0.6,280,0,1,21.525336980819702
968,g0ktlz6i,whole-sweep-3,0.6,565,0,-1,38.25649833679199
969,g0ktlz6i,whole-sweep-3,0.6,388,0,-1,25.97454595565796
970,g0ktlz6i,whole-sweep-3,0.6,500,0,-1,34.68182039260864
971,g0ktlz6i,whole-sweep-3,0.6,278,0,-1,18.85210371017456
972,g0ktlz6i,whole-sweep-3,0.6,747,0,-1,51.68640971183777
973,g0ktlz6i,whole-sweep-3,0.6,504,0,-1,34.06161046028137
974,g0ktlz6i,whole-sweep-3,0.6,51,0,1,5.7857818603515625
975,g0ktlz6i,whole-sweep-3,0.6,299,0,-1,20.141528367996216
976,g0ktlz6i,whole-sweep-3,0.6,319,0,-1,21.30167317390442
977,g0ktlz6i,whole-sweep-3,0.6,346,0,-1,23.212538242340088
978,g0ktlz6i,whole-sweep-3,0.6,301,0,-1,20.160365343093872
979,g0ktlz6i,whole-sweep-3,0.6,49,0,1,5.6628522872924805
980,g0ktlz6i,whole-sweep-3,0.6,655,0,-1,44.80067038536072
981,g0ktlz6i,whole-sweep-3,0.6,442,0,-1,29.88764715194702
982,g0ktlz6i,whole-sweep-3,0.6,295,0,-1,19.92201519012451
983,g0ktlz6i,whole-sweep-3,0.6,49,0,1,5.638631582260132
984,g0ktlz6i,whole-sweep-3,0.6,274,0,-1,18.67228651046753
985,g0ktlz6i,whole-sweep-3,0.6,283,0,-1,19.138959884643555
986,g0ktlz6i,whole-sweep-3,0.6,521,0,-1,35.26106810569763
987,g0ktlz6i,whole-sweep-3,0.6,253,0,-1,17.082114219665527
988,g0ktlz6i,whole-sweep-3,0.6,254,0,-1,17.1251802444458
989,g0ktlz6i,whole-sweep-3,0.6,453,0,-1,30.40672492980957
990,g0ktlz6i,whole-sweep-3,0.6,47,0,1,3.0260369777679443
991,g0ktlz6i,whole-sweep-3,0.6,53,0,1,5.889565706253052
992,g0ktlz6i,whole-sweep-3,0.6,304,0,-1,20.469763040542603
993,g0ktlz6i,whole-sweep-3,0.6,461,0,-1,31.25864815711975
994,g0ktlz6i,whole-sweep-3,0.6,287,0,-1,19.87791609764099
995,g0ktlz6i,whole-sweep-3,0.6,397,0,-1,27.47804093360901
996,g0ktlz6i,whole-sweep-3,0.6,271,0,-1,18.70954179763794
997,g0ktlz6i,whole-sweep-3,0.6,275,0,-1,19.046895027160645
998,g0ktlz6i,whole-sweep-3,0.6,261,0,-1,18.087444067001343
999,g0ktlz6i,whole-sweep-3,0.6,281,0,-1,19.4505136013031
